,Name,Date,Rate,Genre,Certificate
5948,BROS,2022,,"Comedy, Romance",None
2598,Dirk Gently's Holistic Detective Agency,2022,8.2,"Action, Adventure, Comedy",TV-14
2597,The Man from Toronto,2022,,"Action, Comedy, Drama",None
228,Community,2022,8.5,Comedy,TV-14
2577,Pinocchio,2022,,"Animation, Drama, Family",None
2556,Aquaman and the Lost Kingdom,2022,,"Action, Adventure, Fantasy",None
755,Halloween Ends,2022,,"Horror, Thriller",None
2805,Bullet Train,2022,,Action,None
747,Chilling Adventures of Sabrina,2022,7.5,"Drama, Fantasy, Horror",TV-14
746,The Flash,2022,,"Action, Adventure, Fantasy",None
2804,Deep Water,2022,,Thriller,None
2800,Lost City of D,2022,,"Action, Comedy, Romance",None
331,Knives Out 2,2022,,"Comedy, Crime, Drama",None
2573,Downton Abbey: A New Era,2022,,"Drama, Romance",None
4284,Shtisel,2022,8.6,Drama,TV-14
877,The King of Queens,2022,7.3,Comedy,TV-PG
2328,Dickinson,2022,7.4,"Biography, Comedy, Drama",TV-14
5433,Kung Fury: The Movie,2022,,"Action, Comedy, Crime",None
5434,Shtisel,2022,8.6,Drama,TV-14
2350,The Marvels,2022,,"Action, Adventure, Fantasy",None
2387,Ambulance,2022,,"Action, Crime, Drama",None
5570,Asteroid City,2022,,"Comedy, Romance",None
5571,Alone,2022,8.4,"Documentary, Reality-TV",TV-14
5572,Undone,2022,8.2,"Animation, Drama, Fantasy",TV-MA
5573,Project Blue Book,2022,7.7,"Drama, Mystery, Sci-Fi",TV-14
5574,Starsky and Hutch,2022,7.0,"Action, Crime, Drama",None
5575,Tales of the Unexpected,2022,7.7,"Comedy, Drama, Horror",None
5580,Argylle,2022,,Action,None
878,American Dad!,2022,7.3,"Animation, Comedy",TV-14
5614,The Bad Guys,2022,,"Animation, Adventure, Comedy",None
444,Jurassic World: Dominion,2022,,"Action, Adventure, Sci-Fi",None
876,Invasion,2022,,"Drama, Fantasy, Sci-Fi",TV-MA
565,Mission: Impossible 7,2022,,"Action, Adventure, Thriller",None
566,Murdoch Mysteries,2022,8.2,"Crime, Drama, Mystery",TV-PG
567,Untitled Indiana Jones Project,2022,,"Action, Adventure",None
875,John Wick: Chapter 4,2022,,"Action, Crime, Thriller",None
2388,Inside No. 9,2022,8.5,"Comedy, Drama, Horror",TV-MA
5710,Minions: The Rise of Gru,2022,,"Animation, Adventure, Comedy",PG
5711,The Long Call,2022,,"Crime, Drama",None
1798,Extinct,2021,5.2,"Animation, Adventure, Comedy",TV-Y7
1799,"Rise and Shine, Benedict Stone",2021,7.0,Drama,None
1806,Babardeala cu bucluc sau porno balamuc,2021,6.8,"Comedy, Drama",None
1816,The Office,2021,8.5,"Comedy, Drama",TV-MA
1815,Chal Mera Putt 3,2021,8.5,Comedy,None
1807,Le bal des folles,2021,6.6,"Drama, Thriller",None
1972,Doraibu mai kâ,2021,7.8,Drama,None
1948,American Traitor: The Trial of Axis Sally,2021,5.6,Drama,R
1824,Tides,2021,5.4,"Sci-Fi, Thriller",R
1825,While We Sleep,2021,3.7,Horror,None
1865,Kin,2021,5.3,"Crime, Drama, Thriller",TV-MA
1943,The Haunted Museum,2021,6.9,Horror,None
1942,Bergman Island,2021,6.7,Drama,R
1885,Sing 2,2021,,"Animation, Adventure, Comedy",PG
1888,No Man of God,2021,6.4,"Biography, Crime, Drama",None
1889,Family Matters,2021,6.6,"Adventure, Comedy, Drama",TV-G
1926,Madres paralelas,2021,6.7,Drama,R
1918,A Touch of Frost,2021,7.8,"Crime, Drama, Mystery",TV-MA
1890,Insecure,2021,7.9,"Comedy, Romance",TV-MA
1891,Happy Valley,2021,8.4,"Crime, Drama, Thriller",TV-MA
1917,Lansky,2021,6.3,"Biography, Crime, Drama",R
0,No Time to Die,2021,7.6,"Action, Adventure, Thriller",PG-13
2248,Implanted,2021,6.5,"Sci-Fi, Thriller",Unrated
1984,Oxygène,2021,6.5,"Drama, Fantasy, Sci-Fi",TV-14
1998,Memoria,2021,7.1,Drama,None
2428,Edge of the World,2021,5.2,"Adventure, Drama",None
2429,Frontier,2021,7.2,"Adventure, Drama, History",TV-MA
2444,Love Story,2021,7.8,Romance,None
2445,The Virginian,2021,7.6,Western,TV-PG
2450,Needle in a Timestack,2021,3.7,"Drama, Fantasy, Romance",R
2465,La cocinera de Castamar,2021,7.4,Drama,TV-MA
2482,Stowaway,2021,5.6,"Drama, Sci-Fi, Thriller",TV-MA
2483,Hudson & Rex,2021,7.1,"Crime, Drama, Mystery",Not Rated
2490,The Irregulars,2021,6.0,"Crime, Drama, Fantasy",TV-14
2491,The Rain,2021,6.3,"Drama, Sci-Fi, Thriller",TV-MA
2492,Clique,2021,7.0,"Drama, Thriller",TV-MA
2493,The Purge,2021,6.5,"Action, Drama, Horror",TV-MA
2513,The Alpines,2021,5.7,"Drama, Horror, Mystery",None
2514,The Young and the Restless,2021,5.1,"Drama, Romance",TV-14
2539,Apache Junction,2021,3.8,"Action, Adventure, Crime",R
2584,Palmer,2021,7.3,Drama,R
2614,La Fortuna,2021,7.1,"Adventure, Thriller",None
2622,The Mutation,2021,4.1,"Horror, Sci-Fi, Thriller",None
2623,Dark Side of the Ring,2021,8.8,"Documentary, Drama, History",TV-14
2624,Doctor Foster,2021,7.7,Drama,TV-MA
2625,Black Summer,2021,6.5,"Action, Drama, Horror",TV-MA
2626,Unbreakable Kimmy Schmidt,2021,7.6,Comedy,TV-14
2654,Peter Rabbit 2: The Runaway,2021,6.2,"Animation, Adventure, Comedy",E
2655,Gold Rush: Alaska,2021,7.3,Reality-TV,TV-14
2656,Exit,2021,8.2,Drama,TV-MA
2416,12 Mighty Orphans,2021,6.8,"History, Sport",PG-13
2392,Karen,2021,2.8,"Crime, Drama, Thriller",TV-14
2330,Lift,2021,7.3,"Drama, Horror, Mystery",None
2185,Coming 2 America,2021,5.3,Comedy,PG-13
1999,Miami Vice,2021,7.5,"Action, Crime, Drama",TV-14
2026,Naked Singularity,2021,4.5,"Comedy, Crime, Drama",R
2046,A Classic Horror Story,2021,5.7,"Drama, Horror, Mystery",TV-MA
2074,East of the Mountains,2021,5.6,"Action, Drama",None
2075,Days of Our Lives,2021,5.1,"Drama, Romance",TV-14
2083,A Menina que Matou os Pais,2021,6.1,"Crime, Drama, Thriller",None
2092,Paranormal Activity: Next of Kin,2021,,"Horror, Mystery",R
2093,Masters of Sex,2021,7.9,"Drama, Romance",TV-MA
2094,Gilligan's Island,2021,7.3,"Comedy, Family",TV-G
2126,Like Dogs,2021,4.3,"Horror, Thriller",None
2178,Bhramam,2021,6.0,"Crime, Thriller",None
2190,The Misfits,2021,4.2,"Action, Adventure, Thriller",R
2298,Passing,2021,6.8,Drama,PG-13
2205,The Souvenir: Part II,2021,8.1,Drama,R
2206,iCarly,2021,6.7,"Comedy, Family, Romance",TV-G
2216,Son,2021,5.6,"Horror, Thriller",Not Rated
2217,Chicago Party Aunt,2021,5.3,"Animation, Comedy",TV-MA
2236,Bo Burnham: Inside,2021,8.7,"Comedy, Drama, Music",TV-MA
1786,The Electrical Life of Louis Wain,2021,7.0,"Biography, Drama, History",PG-13
2258,The House Next Door,2021,3.7,"Action, Comedy, Horror",R
2259,Masters of the Universe: Revelation,2021,5.1,"Animation, Short, Action",TV-PG
2268,Best Sellers,2021,6.1,"Comedy, Drama",None
2269,Felicity,2021,6.8,"Drama, Romance",TV-14
2271,American Underdog,2021,,Drama,None
1796,Taking the Reins,2021,6.4,"Comedy, Drama, Romance",TV-G
1481,Eiffel,2021,6.4,"Biography, Drama, History",None
1778,Jeepers Creepers: Reborn,2021,,"Horror, Mystery, Thriller",None
1060,The Great,2021,8.1,"Biography, Comedy, Drama",TV-MA
836,The Mauritanian,2021,7.5,"Drama, Thriller",R
845,Suedi,2021,6.4,"Comedy, Drama",None
846,NCIS: New Orleans,2021,6.8,"Action, Crime, Drama",TV-14
847,Naruto,2021,8.3,"Animation, Action, Adventure",TV-PG
851,In the Heights,2021,7.4,"Drama, Musical, Romance",E
854,SAS: Red Notice,2021,5.1,"Action, Thriller",R
859,No Sudden Move,2021,6.5,"Crime, Drama, Mystery",R
860,The Neighborhood,2021,6.4,Comedy,TV-PG
861,Red Notice,2021,,"Action, Comedy, Crime",PG-13
862,Barry,2021,8.3,"Action, Comedy, Crime",TV-MA
872,The Boss Baby: Family Business,2021,5.9,"Animation, Adventure, Comedy",E
883,Wrong Turn,2021,5.5,"Horror, Thriller",R
902,Fuimos canciones,2021,5.3,"Comedy, Music, Romance",TV-MA
903,Private Practice,2021,6.7,"Comedy, Drama, Romance",TV-14
913,Finch,2021,,"Drama, Sci-Fi",PG-13
914,Annette,2021,6.4,"Drama, Musical, Romance",R
925,Judas and the Black Messiah,2021,7.5,"Biography, Drama, History",R
926,Grimm,2021,7.8,"Crime, Drama, Fantasy",TV-14
927,Gomorra: La serie,2021,8.7,"Crime, Drama, Thriller",TV-MA
944,Love Hard,2021,,"Comedy, Romance",None
949,The Medium,2021,6.6,Horror,None
964,Vacation Friends,2021,6.3,"Adventure, Comedy",R
980,Nightmare Alley,2021,,"Action, Crime, Drama",R
983,Jolt,2021,5.6,"Action, Thriller",R
987,Tom & Jerry,2021,5.3,"Animation, Adventure, Comedy",PG
1003,The Black Phone,2021,8.9,Horror,R
1004,Resident Alien,2021,8.2,"Comedy, Drama, Mystery",TV-14
1033,Bhoot Police,2021,7.0,"Comedy, Horror",None
1040,Belfast,2021,7.7,Drama,PG-13
834,Escape the Undertaker,2021,4.1,"Short, Mystery",None
833,The Lost Daughter,2021,6.6,Drama,R
829,The Ice Road,2021,5.6,"Action, Adventure, Drama",PG-13
695,Star Wars: The Clone Wars,2021,8.3,"Animation, Action, Adventure",TV-PG
640,Shershaah,2021,8.7,"Action, Biography, Drama",None
641,Person of Interest,2021,8.4,"Action, Crime, Drama",TV-14
642,Leverage,2021,7.9,"Crime, Mystery, Thriller",TV-PG
643,The O.C.,2021,7.5,"Comedy, Drama, Romance",TV-PG
644,His Dark Materials,2021,7.9,"Adventure, Drama, Family",TV-14
645,Married with Children,2021,8.0,Comedy,TV-PG
646,The Good Wife,2021,8.3,"Crime, Drama, Mystery",TV-14
654,Madres,2021,4.7,Horror,Not Rated
656,Under Wraps,2021,4.7,"Family, Fantasy",TV-Y7
657,Entourage,2021,8.4,"Comedy, Drama",TV-MA
681,God's Not Dead: We the People,2021,3.7,Drama,PG
689,Copshop,2021,6.4,"Action, Crime, Thriller",R
694,Sweet Girl,2021,5.5,"Action, Drama, Thriller",R
696,One Summer,2021,7.3,"Drama, Mystery, Romance",None
820,The Lord of the Rings,2021,,"Action, Adventure, Drama",None
704,Night Teeth,2021,,"Action, Crime, Drama",None
705,Thalaivi,2021,6.1,"Biography, Drama",None
724,Injustice,2021,,"Animation, Action, Adventure",R
749,Chaos Walking,2021,5.7,"Action, Adventure, Fantasy",PG-13
756,Spiral: From the Book of Saw,2021,5.3,"Crime, Horror, Mystery",R
757,Our Kind of People,2021,5.0,Drama,TV-14
776,West Side Story,2021,,"Crime, Drama, Musical",PG-13
797,Fear Street: 1978,2021,6.7,"Drama, Horror, Mystery",R
799,Vivo,2021,6.7,"Animation, Adventure, Comedy",PG
800,The Nevers,2021,7.4,"Action, Drama, Fantasy",TV-MA
801,The Conners,2021,5.3,Comedy,TV-PG
818,Small Engine Repair,2021,6.6,"Comedy, Drama, Thriller",R
819,Toma,2021,9.3,"Biography, Drama, Music",None
1059,Coming Home in the Dark,2021,5.7,"Horror, Thriller",None
1078,Respect,2021,6.6,"Biography, Drama, Music",PG-13
1777,Republic,2021,8.3,"Drama, Thriller",None
1092,The Witcher: Nightmare of the Wolf,2021,7.3,"Animation, Action, Adventure",TV-MA
1455,Blush,2021,7.7,"Animation, Short, Sci-Fi",PG
1456,New Tricks,2021,7.8,"Comedy, Crime, Drama",TV-14
1457,Dallas,2021,7.0,"Drama, Romance",TV-PG
