,Name,Date,Rate,Genre,Certificate
5565,Chappelle's Show,2018,8.7,"Comedy, Music",TV-MA
5564,Destroyer,2018,6.2,"Action, Crime, Drama",R
5563,Adrift,2018,6.6,"Action, Adventure, Biography",PG-13
3059,Widows,2018,6.9,"Crime, Drama, Thriller",R
4415,Chappelle's Show,2018,8.7,"Comedy, Music",TV-MA
3483,She-Ra and the Princesses of Power,2018,7.9,"Animation, Action, Adventure",TV-Y7-FV
4778,Summer of 84,2018,6.7,"Drama, Horror, Mystery",Not Rated
4827,H2O: Just Add Water,2018,7.2,"Drama, Family, Fantasy",TV-PG
4826,I Feel Pretty,2018,5.6,"Comedy, Romance",PG-13
1193,Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,"Adventure, Family, Fantasy",PG-13
4813,Petticoat Junction,2018,7.0,Comedy,TV-G
4812,Vice Principals,2018,8.0,Comedy,TV-MA
4811,Blockers,2018,6.2,Comedy,R
1217,Crazy Rich Asians,2018,6.9,"Comedy, Drama, Romance",PG-13
3918,The Dead Center,2018,5.8,"Horror, Mystery, Thriller",Not Rated
3653,Unsane,2018,6.4,"Drama, Horror, Mystery",R
3921,Z-O-M-B-I-E-S,2018,6.2,"Family, Musical, Romance",TV-G
4731,Gräns,2018,7.0,"Crime, Drama, Fantasy",R
3967,The First Purge,2018,5.2,"Action, Horror, Sci-Fi",R
1248,Annihilation,2018,6.8,"Adventure, Drama, Horror",R
1249,Mr. Mercedes,2018,7.8,"Crime, Drama, Mystery",TV-MA
469,Bohemian Rhapsody,2018,7.9,"Biography, Drama, Music",PG-13
1550,The Hardy Boys,2018,7.1,"Adventure, Drama, Family",TV-PG
1604,The Ballad of Buster Scruggs,2018,7.3,"Comedy, Drama, Musical",R
4834,Mute,2018,5.5,"Mystery, Sci-Fi, Thriller",TV-MA
4853,Midnight Sun,2018,6.6,"Drama, Romance",PG-13
3774,Malevolent,2018,4.8,"Horror, Mystery, Thriller",TV-MA
3666,Pacific Rim: Uprising,2018,5.6,"Action, Adventure, Sci-Fi",PG-13
3667,Robot Chicken,2018,7.7,"Animation, Short, Adventure",TV-MA
3682,The Strangers: Prey at Night,2018,5.2,Horror,R
3683,Gyakkyô burai Kaiji,2018,8.3,"Animation, Action, Thriller",TV-14
4968,Operation Finale,2018,6.6,"Biography, Drama, History",PG-13
4962,King of Thieves,2018,5.5,"Biography, Crime, Drama",R
1148,Mission: Impossible - Fallout,2018,7.7,"Action, Adventure, Thriller",PG-13
4945,Ratsasan,2018,8.4,"Action, Crime, Drama",Not Rated
3705,Werk ohne Autor,2018,7.8,"Biography, Drama, Romance",R
3706,Criminal: UK,2018,7.6,"Crime, Drama, Mystery",TV-MA
3707,Kin,2018,5.8,"Action, Drama, Sci-Fi",PG-13
1631,Bird Box,2018,6.6,"Horror, Sci-Fi",R
3717,Mary Queen of Scots,2018,6.3,"Biography, Drama, History",R
4910,The White Orchid,2018,5.3,"Drama, Mystery, Thriller",TV-MA
3749,Gon-ji-am,2018,6.3,Horror,Not Rated
1549,Fifty Shades Freed,2018,4.5,"Drama, Romance, Thriller",R
1545,Ocean's Eight,2018,6.3,"Action, Comedy, Crime",PG-13
4013,On the Basis of Sex,2018,7.1,"Biography, Drama",PG-13
4243,City of Lies,2018,6.5,"Biography, Crime, Drama",R
171,Halloween,2018,6.5,"Crime, Horror, Thriller",R
4277,Between Earth and Sky,2018,5.8,"Crime, Drama, Mystery",R
4288,Life Itself,2018,6.9,"Drama, Romance",R
4289,Believe Me: The Abduction of Lisa McVey,2018,7.2,"Biography, Crime, Drama",TV-14
4328,Anon,2018,6.1,"Crime, Sci-Fi, Thriller",TV-MA
502,Avengers: Infinity War,2018,8.4,"Action, Adventure, Sci-Fi",PG-13
4498,Dragged Across Concrete,2018,6.9,"Action, Crime, Drama",R
4473,The Perfection,2018,6.2,"Drama, Horror, Music",TV-MA
4470,Ophelia,2018,6.6,"Drama, Romance, Thriller",PG-13
4457,Cam,2018,5.9,"Drama, Horror, Mystery",TV-MA
4385,Trial by Fire,2018,7.1,"Biography, Drama",R
4391,Deception,2018,7.5,"Crime, Drama, Mystery",TV-PG
4392,Leave No Trace,2018,7.2,"Adventure, Drama",PG
4443,Durante la tormenta,2018,7.4,"Drama, Fantasy, Mystery",TV-MA
4413,Adrift,2018,6.6,"Action, Adventure, Biography",PG-13
4252,A Million Little Pieces,2018,6.2,Drama,R
503,Justified,2018,8.6,"Action, Crime, Drama",TV-MA
4014,Ms. Marvel,2018,,"Action, Adventure, Comedy",None
1477,The House That Jack Built,2018,6.8,"Crime, Drama, Horror",R
470,La Venganza de las Juanas,2018,6.9,Drama,TV-MA
4032,Slender Man,2018,3.2,"Horror, Mystery, Thriller",PG-13
1262,Red Sparrow,2018,6.6,"Action, Drama, Thriller",R
1263,Stargate: Atlantis,2018,8.1,"Action, Adventure, Drama",TV-PG
4669,Then Came You,2018,7.0,"Adventure, Comedy, Drama",None
4664,Wildlife,2018,6.8,Drama,PG-13
4104,Tumbbad,2018,8.3,"Drama, Fantasy, Horror",Not Rated
4120,Extinction,2018,5.8,"Action, Drama, Sci-Fi",TV-MA
4128,The Hate U Give,2018,7.5,"Crime, Drama",PG-13
4640,To All the Boys I've Loved Before,2018,7.1,"Comedy, Drama, Romance",TV-14
4133,12 Strong,2018,6.6,"Action, Drama, History",R
4626,Law & Order: UK,2018,7.6,"Crime, Drama, Mystery",TV-14
4625,Hunter Killer,2018,6.6,"Action, Thriller",R
4173,The Clovehitch Killer,2018,6.6,"Crime, Drama, Mystery",Unrated
4174,Kiseijû: Sei no kakuritsu,2018,8.3,"Animation, Action, Horror",TV-MA
3664,MILF,2018,4.7,Comedy,TV-MA
1237,Jurassic World: Fallen Kingdom,2018,6.2,"Action, Adventure, Sci-Fi",PG-13
1120,A Star Is Born,2018,7.6,"Drama, Music, Romance",R
1101,Level 16,2018,6.1,"Drama, Sci-Fi, Thriller",Not Rated
3496,Ladies in Black,2018,6.8,"Comedy, Drama, Romance",PG
5071,Z-O-M-B-I-E-S,2018,6.2,"Family, Musical, Romance",TV-G
5001,Alpha,2018,6.7,"Action, Adventure, Drama",PG-13
1687,The Nun,2018,5.3,"Horror, Mystery, Thriller",R
5068,The Dead Center,2018,5.8,"Horror, Mystery, Thriller",Not Rated
5117,The First Purge,2018,5.2,"Action, Horror, Sci-Fi",R
1680,Beautiful Boy,2018,7.3,"Biography, Drama",R
3507,Goosebumps 2: Haunted Halloween,2018,5.6,"Animation, Adventure, Comedy",PG
5002,The Kindergarten Teacher,2018,6.7,"Drama, Thriller",R
1715,The Favourite,2018,7.5,"Biography, Comedy, Drama",R
3559,Roma,2018,7.7,Drama,R
3497,Solos,2018,5.9,"Drama, Fantasy, Sci-Fi",TV-14
1679,Solo: A Star Wars Story,2018,6.9,"Action, Adventure, Sci-Fi",PG-13
3560,Ghostland,2018,6.4,"Drama, Horror, Mystery",Not Rated
1716,The Predator,2018,5.3,"Action, Adventure, Sci-Fi",R
1079,The Babysitter,2017,6.3,"Comedy, Horror",TV-MA
2044,The Fate of the Furious,2017,6.6,"Action, Adventure, Crime",PG-13
4124,Kodachrome,2017,6.8,Drama,TV-MA
3399,The Foreigner,2017,7.0,"Action, Thriller",R
3390,Mia,2017,6.9,"Short, Drama",None
1757,Victorious,2017,6.9,"Comedy, Drama, Family",TV-G
2039,Annabelle: Creation,2017,6.5,"Horror, Mystery, Thriller",R
4147,Jungle,2017,6.7,"Action, Adventure, Biography",R
527,Gerald's Game,2017,6.5,"Drama, Horror, Thriller",TV-MA
2045,Young Justice,2017,8.6,"Animation, Action, Adventure",TV-PG
1274,Darkest Hour,2017,7.4,"Biography, Drama, History",PG-13
5840,Ferdinand,2017,6.7,"Animation, Adventure, Comedy",PG
4572,47 Meters Down,2017,5.7,"Adventure, Drama, Horror",PG-13
4587,Adam: The Mirror,2017,6.9,"Animation, Short, Sci-Fi",None
5176,Only the Brave,2017,7.6,"Action, Biography, Drama",PG-13
1756,Fifty Shades Darker,2017,4.6,"Drama, Romance",R
505,Wu-Tang: An American Saga,2017,8.3,"Biography, Drama",TV-MA
4588,Crossing Jordan,2017,7.0,"Crime, Drama, Mystery",TV-14
5857,"Everything, Everything",2017,6.4,"Drama, Romance",PG-13
5852,ALF,2017,7.4,"Comedy, Family, Sci-Fi",TV-G
2629,War for the Planet of the Apes,2017,7.4,"Action, Adventure, Drama",PG-13
2630,Gintama,2017,8.6,"Animation, Action, Comedy",TV-14
2631,George Lopez,2017,6.7,"Comedy, Drama",TV-PG
767,The Greatest Showman,2017,7.6,"Biography, Drama, Musical",PG
5851,Mudbound,2017,7.4,"Drama, War",R
4158,All the Money in the World,2017,6.8,"Biography, Crime, Drama",R
1299,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Comedy, Crime, Drama",R
2731,What Happened to Monday,2017,6.9,"Action, Crime, Fantasy",TV-MA
1125,Cold Case,2017,7.6,"Crime, Drama, Mystery",TV-14
590,Poirot,2017,8.6,"Crime, Drama, Mystery",TV-14
5054,The Lego Batman Movie,2017,7.3,"Animation, Action, Adventure",PG
4010,Kings,2017,5.1,"Crime, Drama, Romance",R
2815,Hostiles,2017,7.2,"Drama, Western",R
2816,Versailles,2017,7.9,"Biography, Drama, History",TV-MA
3993,Newness,2017,6.3,"Drama, Romance",Unrated
4702,ALF,2017,7.4,"Comedy, Family, Sci-Fi",TV-G
4707,"Everything, Everything",2017,6.4,"Drama, Romance",PG-13
3536,God's Own Country,2017,7.7,"Drama, Romance",Not Rated
589,Spider-Man: Homecoming,2017,7.4,"Action, Adventure, Sci-Fi",PG-13
1105,Logan Lucky,2017,7.0,"Action, Comedy, Crime",PG-13
5675,The Glass Castle,2017,7.1,"Biography, Drama",PG-13
1245,Sa-rang-eui bul-sa-chak,2017,8.7,"Adventure, Comedy, Romance",TV-14
1244,Alien: Covenant,2017,6.4,"Horror, Sci-Fi, Thriller",R
1242,Lady Bird,2017,7.4,"Comedy, Drama",R
520,Thor: Ragnarok,2017,7.9,"Action, Adventure, Comedy",PG-13
4701,Mudbound,2017,7.4,"Drama, War",R
1991,Molly's Game,2017,7.4,"Biography, Crime, Drama",R
828,Baby Driver,2017,7.6,"Action, Crime, Drama",R
5722,47 Meters Down,2017,5.7,"Adventure, Drama, Horror",PG-13
4020,Breathe,2017,7.2,"Biography, Drama, Romance",PG-13
5737,Adam: The Mirror,2017,6.9,"Animation, Short, Sci-Fi",None
5738,Crossing Jordan,2017,7.0,"Crime, Drama, Mystery",TV-14
2000,Happy Death Day,2017,6.6,"Comedy, Horror, Mystery",PG-13
1126,The Righteous Gemstones,2017,8.0,"Comedy, Drama",TV-MA
5184,Gypsy,2017,6.8,"Drama, Thriller",TV-MA
2794,Cars 3,2017,6.7,"Animation, Adventure, Comedy",G
4034,Gypsy,2017,6.8,"Drama, Thriller",TV-MA
4690,Ferdinand,2017,6.7,"Animation, Adventure, Comedy",PG
1269,Life,2017,6.6,"Horror, Sci-Fi, Thriller",R
340,Rakka,2017,7.4,"Short, Horror, Sci-Fi",Not Rated
5890,Rough Night,2017,5.2,"Comedy, Crime, Thriller",R
804,Logan,2017,8.1,"Action, Drama, Sci-Fi",R
504,Wind River,2017,7.7,"Crime, Drama, Mystery",R
4217,Den 12. mann,2017,7.4,"Drama, History, Thriller",Unrated
2608,Atomic Blonde,2017,6.7,"Action, Thriller",R
2299,The Death of Stalin,2017,7.3,"Comedy, Drama, History",R
6103,The Square,2017,7.2,"Comedy, Drama",R
3479,Aterrados,2017,6.5,Horror,Not Rated
1072,Kingsman: The Golden Circle,2017,6.7,"Action, Adventure, Comedy",R
2274,Okja,2017,7.3,"Action, Adventure, Drama",TV-MA
1367,Zygote,2017,7.2,"Short, Horror, Sci-Fi",Not Rated
2297,Transformers: The Last Knight,2017,5.2,"Action, Adventure, Sci-Fi",PG-13
4387,The Endless,2017,6.5,"Drama, Fantasy, Horror",Not Rated
606,Get Out,2017,7.7,"Horror, Mystery, Thriller",R
189,Ordinary Joe,2017,6.6,Drama,TV-G
4374,"Auf Wiedersehen, Pet",2017,8.4,"Comedy, Drama",None
4373,The Little Hours,2017,5.8,"Comedy, Romance",R
2151,Kong: Skull Island,2017,6.6,"Action, Adventure, Fantasy",PG-13
605,Twin Peaks,2017,8.8,"Crime, Drama, Mystery",TV-MA
6029,Inhumans,2017,5.0,"Action, Adventure, Sci-Fi",TV-PG
4434,Despicable Me 3,2017,6.3,"Animation, Adventure, Comedy",PG
1380,Twin Peaks,2017,8.5,"Crime, Drama, Fantasy",TV-MA
6017,Sharpe,2017,8.4,"Action, Adventure, Drama",None
187,Blade Runner 2049,2017,8.0,"Action, Drama, Mystery",R
3480,Security,2017,5.7,"Action, Crime, Thriller",R
4410,Drake & Josh,2017,7.7,"Comedy, Family",TV-Y7
1396,Survivor,2017,7.3,"Adventure, Game-Show, Reality-TV",TV-PG
4409,Flatliners,2017,5.2,"Drama, Horror, Mystery",PG-13
1395,The Shape of Water,2017,7.3,"Adventure, Drama, Fantasy",R
2222,Shot Caller,2017,7.3,"Crime, Drama, Thriller",R
188,The X Files,2017,8.6,"Crime, Drama, Mystery",TV-14
2172,Good Time,2017,7.4,"Crime, Drama, Thriller",R
6149,Brawl in Cell Block 99,2017,7.2,"Action, Crime, Drama",Not Rated
2179,The Mummy,2017,5.4,"Action, Adventure, Fantasy",PG-13
1386,Colony,2017,7.4,"Action, Adventure, Drama",TV-14
1385,The Killing of a Sacred Deer,2017,7.0,"Drama, Horror, Mystery",R
1384,Star Wars: Episode VIII - The Last Jedi,2017,6.9,"Action, Adventure, Fantasy",PG-13
1381,Clarkson's Farm,2017,9.1,"Documentary, Reality-TV",TV-PG
190,Schitt's Creek,2017,8.5,Comedy,TV-14
4466,Sin-gwa ham-kke: Jwi-wa beol,2017,7.3,"Action, Drama, Fantasy",Not Rated
1486,The Ritual,2017,6.3,"Horror, Mystery, Thriller",TV-MA
1467,Crooked House,2017,6.3,"Crime, Drama, Mystery",PG-13
1345,Firebase,2017,7.1,"Short, Horror, Sci-Fi",Not Rated
2479,A Ghost Story,2017,6.9,"Drama, Fantasy, Romance",R
5969,God: Serengeti,2017,6.7,"Short, Comedy",None
3421,Power Rangers,2017,5.9,"Action, Adventure, Sci-Fi",PG-13
4525,The Glass Castle,2017,7.1,"Biography, Drama",PG-13
5170,Breathe,2017,7.2,"Biography, Drama, Romance",PG-13
4228,Everybody Hates Chris,2017,7.4,"Comedy, Drama, Music",TV-PG
2459,1922,2017,6.3,"Crime, Drama, Horror",TV-MA
4227,Escape Room,2017,4.2,"Horror, Thriller",R
4226,Hell's Kitchen,2017,7.1,"Game-Show, Reality-TV",TV-14
4225,Picture of Beauty,2017,3.4,"Drama, Romance",None
2585,Gi-eok-ui bam,2017,7.5,"Mystery, Thriller",TV-MA
2892,Revenge,2017,6.4,"Action, Horror, Thriller",R
1333,Home Again,2017,5.8,"Comedy, Drama, Romance",PG-13
1459,John Wick: Chapter 2,2017,7.5,"Action, Crime, Thriller",R
709,Papillon,2017,7.2,"Adventure, Biography, Crime",R
5143,Newness,2017,6.3,"Drama, Romance",Unrated
4497,Song to Song,2017,5.7,"Drama, Music, Romance",R
1062,Guardians of the Galaxy Vol. 2,2017,7.6,"Action, Adventure, Comedy",PG-13
604,Call Me by Your Name,2017,7.9,"Drama, Romance",R
6016,Hot Summer Nights,2017,6.4,"Comedy, Crime, Drama",R
2390,Death Note,2017,4.4,"Action, Crime, Drama",TV-MA
2391,Marco Polo,2017,8.0,"Adventure, Drama, History",TV-MA
4484,Taeksi woonjunsa,2017,7.9,"Action, Drama, History",Not Rated
1446,Ghost in the Shell,2017,6.3,"Action, Crime, Drama",PG-13
2448,"I, Tonya",2017,7.5,"Biography, Comedy, Drama",R
2122,The Florida Project,2017,7.6,Drama,R
1447,Vikings: Valhalla,2017,,"Action, Adventure, Drama",None
5160,Kings,2017,5.1,"Crime, Drama, Romance",R
1450,Baywatch,2017,5.5,"Action, Comedy, Crime",R
3436,Cult of Chucky,2017,5.2,"Comedy, Fantasy, Horror",R
3499,Bright,2017,6.3,"Action, Fantasy, Thriller",TV-MA
3481,Undercover,2017,7.8,"Crime, Drama, Thriller",TV-MA
4026,Only the Brave,2017,7.6,"Action, Biography, Drama",PG-13
4740,Rough Night,2017,5.2,"Comedy, Crime, Thriller",R
3158,You Were Never Really Here,2017,6.8,"Crime, Drama",R
5560,Drake & Josh,2017,7.7,"Comedy, Family",TV-Y7
1857,The Real Housewives of Beverly Hills,2017,5.1,Reality-TV,TV-14
1907,The Post,2017,7.2,Drama,PG-13
1856,It Comes at Night,2017,6.2,"Horror, Mystery, Sci-Fi",R
3140,Leatherface,2017,5.0,"Crime, Horror, Thriller",R
4953,The Square,2017,7.2,"Comedy, Drama",R
3024,Master of None,2017,8.3,"Comedy, Drama",TV-MA
3023,Gifted,2017,7.6,Drama,PG-13
3019,Pushing Daisies,2017,8.3,"Comedy, Drama, Fantasy",TV-PG
3018,Pitch Perfect 3,2017,5.8,"Comedy, Music",PG-13
3577,The Circle,2017,5.4,"Drama, Sci-Fi, Thriller",PG-13
3684,First Reformed,2017,7.1,"Drama, Mystery, Thriller",R
3159,The Emoji Movie,2017,3.3,"Animation, Adventure, Comedy",PG
3690,The Snowman,2017,5.1,"Crime, Drama, Thriller",R
3831,T2 Trainspotting,2017,7.2,Drama,R
5584,Despicable Me 3,2017,6.3,"Animation, Adventure, Comedy",PG
5274,Kodachrome,2017,6.8,Drama,TV-MA
3311,Geostorm,2017,5.3,"Action, Sci-Fi, Thriller",PG-13
3163,American Assassin,2017,6.2,"Action, Thriller",R
4819,God: Serengeti,2017,6.7,"Short, Comedy",None
1140,Murder on the Orient Express,2017,6.5,"Crime, Drama, Mystery",PG-13
314,It,2017,7.3,Horror,R
3815,American Made,2017,7.2,"Action, Comedy, Crime",R
5559,Flatliners,2017,5.2,"Drama, Horror, Mystery",PG-13
3588,Professor Marston and the Wonder Women,2017,7.1,"Biography, Drama, History",R
3030,Jigsaw,2017,5.8,"Crime, Horror, Mystery",R
3587,The Beguiled,2017,6.3,"Drama, Thriller, War",R
942,StartUp,2017,7.9,"Crime, Thriller",Not Rated
941,Wonder Woman,2017,7.4,"Action, Adventure, Fantasy",PG-13
4879,Inhumans,2017,5.0,"Action, Adventure, Sci-Fi",TV-PG
5297,Jungle,2017,6.7,"Action, Adventure, Biography",R
954,Mother!,2017,6.6,"Drama, Horror, Mystery",R
5523,The Little Hours,2017,5.8,"Comedy, Romance",R
1160,Shadowplay,2017,7.1,"Drama, Thriller",TV-MA
5524,"Auf Wiedersehen, Pet",2017,8.4,"Comedy, Drama",None
4867,Sharpe,2017,8.4,"Action, Adventure, Drama",None
4866,Hot Summer Nights,2017,6.4,"Comedy, Crime, Drama",R
868,Dunkirk,2017,7.8,"Action, Drama, History",PG-13
5537,The Endless,2017,6.5,"Drama, Fantasy, Horror",Not Rated
1867,Time Trap,2017,6.3,"Action, Adventure, Mystery",Not Rated
1159,Jumanji: Welcome to the Jungle,2017,6.9,"Action, Adventure, Comedy",PG-13
1862,Nashville,2017,7.7,"Drama, Music, Romance",TV-PG
923,Coco,2017,8.4,"Animation, Adventure, Comedy",PG
1861,Valerian and the City of a Thousand Planets,2017,6.5,"Action, Adventure, Fantasy",PG-13
3037,The Big Sick,2017,7.5,"Comedy, Drama, Romance",R
3032,Family Ties,2017,7.2,"Comedy, Drama, Family",TV-G
3031,Orphan: First Kill,2017,,"Crime, Drama, Horror",None
3685,Growing Pains,2017,6.6,"Comedy, Family",TV-G
1141,Burn Notice,2017,7.9,"Action, Crime, Drama",TV-PG
5308,All the Money in the World,2017,6.8,"Biography, Crime, Drama",R
5378,Everybody Hates Chris,2017,7.4,"Comedy, Drama, Music",TV-PG
1939,Phantom Thread,2017,7.5,"Drama, Romance",R
5376,Hell's Kitchen,2017,7.1,"Game-Show, Reality-TV",TV-14
5375,Picture of Beauty,2017,3.4,"Drama, Romance",None
1696,The Hitman's Bodyguard,2017,6.9,"Action, Comedy, Crime",R
5634,Taeksi woonjunsa,2017,7.9,"Action, Drama, History",Not Rated
3904,The Lego Batman Movie,2017,7.3,"Animation, Action, Adventure",PG
3215,Namhansanseong,2017,6.8,"Action, Drama, History",Not Rated
2940,The Dark Tower,2017,5.6,"Action, Adventure, Fantasy",PG-13
5647,Song to Song,2017,5.7,"Drama, Music, Romance",R
5367,Den 12. mann,2017,7.4,"Drama, History, Thriller",Unrated
1950,Downsizing,2017,5.7,"Drama, Fantasy, Sci-Fi",R
1124,Justice League,2017,6.1,"Action, Adventure, Fantasy",PG-13
1701,Wonder,2017,8.0,"Drama, Family",PG
3652,The Mist,2017,5.4,"Drama, Horror, Mystery",TV-14
1230,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,"Action, Adventure, Fantasy",PG-13
1231,The Closer,2017,7.6,"Crime, Drama, Mystery",TV-14
869,Firefly,2017,9.0,"Adventure, Drama, Sci-Fi",TV-14
3650,The Boss Baby,2017,6.3,"Animation, Adventure, Comedy",PG
1958,King Arthur: Legend of the Sword,2017,6.7,"Action, Adventure, Drama",PG-13
3647,Stronger,2017,6.9,"Biography, Drama",R
1234,Beauty and the Beast,2017,7.1,"Adventure, Family, Fantasy",PG
1668,Disobedience,2017,6.6,"Drama, Romance",R
3239,The Disaster Artist,2017,7.4,"Biography, Comedy, Drama",R
5377,Escape Room,2017,4.2,"Horror, Thriller",R
3657,xXx: Return of Xander Cage,2017,5.2,"Action, Adventure, Thriller",PG-13
5616,Sin-gwa ham-kke: Jwi-wa beol,2017,7.3,"Action, Drama, Fantasy",Not Rated
2983,Keeping Up with the Kardashians,2017,2.8,"Drama, Family, Reality-TV",TV-14
3550,The Upside,2017,7.0,"Comedy, Drama",PG-13
4999,Brawl in Cell Block 99,2017,7.2,"Action, Crime, Drama",Not Rated
3189,The Mountain Between Us,2017,6.4,"Action, Adventure, Drama",PG-13
2982,Thelma,2017,7.0,"Drama, Fantasy, Horror",Not Rated
2371,Ride Along 2,2016,5.9,"Action, Comedy, Crime",PG-13
4296,Tae-yang-eui hoo-ye,2016,8.3,"Action, Comedy, Drama",TV-14
3201,Crawlspace,2016,5.1,"Horror, Thriller",R
4433,The Purge: Election Year,2016,6.0,"Action, Horror, Sci-Fi",R
6159,The Whole Truth,2016,6.2,"Crime, Drama, Mystery",R
4512,Yoga Hosers,2016,4.3,"Action, Comedy, Fantasy",PG-13
3114,Steven Universe,2016,8.2,"Animation, Short, Action",TV-PG
375,Line of Duty,2016,8.7,"Crime, Drama, Mystery",TV-14
2213,Hell or High Water,2016,7.6,"Action, Crime, Drama",R
3115,4400,2016,,"Drama, Sci-Fi",None
3113,The Secret Life of Pets,2016,6.5,"Animation, Adventure, Comedy",PG
3164,The Autopsy of Jane Doe,2016,6.8,"Horror, Mystery, Thriller",R
5312,Fences,2016,7.2,Drama,PG-13
3126,A Cure for Wellness,2016,6.4,"Drama, Fantasy, Horror",R
3669,The Lost City of Z,2016,6.6,"Biography, Drama",PG-13
5142,The Fundamentals of Caring,2016,7.3,"Comedy, Drama",TV-MA
374,Hush,2016,6.6,"Horror, Thriller",R
3505,How to Be Single,2016,6.1,"Comedy, Drama, Romance",R
5419,The BFG,2016,6.4,"Adventure, Family, Fantasy",PG
5492,Paterson,2016,7.4,"Comedy, Drama, Romance",R
2307,Warcraft,2016,6.8,"Action, Adventure, Fantasy",PG-13
6166,Elle,2016,7.1,"Crime, Drama, Thriller",R
3180,Swiss Army Man,2016,7.0,"Comedy, Drama, Fantasy",R
2470,Resident Evil: The Final Chapter,2016,5.5,"Action, Horror, Sci-Fi",R
2472,The Belko Experiment,2016,6.1,"Horror, Thriller",R
3203,Deepwater Horizon,2016,7.1,"Action, Drama, History",PG-13
6035,The Void,2016,5.9,"Horror, Mystery, Sci-Fi",Not Rated
2223,The Huntsman: Winter's War,2016,6.1,"Action, Adventure, Drama",PG-13
5158,Finding Dory,2016,7.3,"Animation, Adventure, Comedy",PG
3618,The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,4.2,"Comedy, Horror, Musical",TV-14
5446,Tae-yang-eui hoo-ye,2016,8.3,"Action, Comedy, Drama",TV-14
3155,Lady Macbeth,2016,6.8,"Drama, Romance",R
3259,31,2016,5.1,"Horror, Thriller",None
2247,Snowden,2016,7.3,"Biography, Crime, Drama",R
2252,Assassin's Creed,2016,5.7,"Action, Adventure, Sci-Fi",PG-13
3659,A Monster Calls,2016,7.5,"Adventure, Drama, Family",PG-13
4342,Paterson,2016,7.4,"Comedy, Drama, Romance",R
6032,Mother's Day,2016,5.7,"Comedy, Drama, Romance",PG-13
4456,Allegiant,2016,5.7,"Action, Adventure, Mystery",PG-13
3610,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,"Action, Adventure, Comedy",PG-13
3582,Dark Shadows,2016,8.0,"Drama, Fantasy, Horror",TV-PG
2393,Before I Wake,2016,6.2,"Drama, Fantasy, Horror",PG-13
3181,Last of the Summer Wine,2016,7.0,Comedy,TV-PG
4402,"Hail, Caesar!",2016,6.3,"Comedy, Drama, Music",PG-13
2404,Below Her Mouth,2016,5.5,"Drama, Romance",Not Rated
2405,Hogan's Heroes,2016,7.8,"Comedy, War",TV-PG
4492,Trolls,2016,6.5,"Animation, Adventure, Comedy",PG
6014,Dollhouse,2016,7.7,"Drama, Mystery, Sci-Fi",TV-14
6033,Andromeda,2016,6.6,"Action, Adventure, Drama",TV-PG
6013,Hart to Hart,2016,6.6,"Action, Adventure, Crime",TV-PG
2235,Silence,2016,7.2,"Drama, History",R
6012,A Hologram for the King,2016,6.1,"Comedy, Drama, Romance",R
3223,Colossal,2016,6.2,"Action, Adventure, Comedy",R
6026,Ice Age: Collision Course,2016,5.7,"Animation, Adventure, Comedy",PG
2476,Hunt for the Wilderpeople,2016,7.9,"Adventure, Comedy, Drama",PG-13
5914,Bad Moms,2016,6.2,Comedy,R
4885,The Void,2016,5.9,"Horror, Mystery, Sci-Fi",Not Rated
2762,The Edge of Seventeen,2016,7.3,"Comedy, Drama",R
5767,You're the Worst,2016,8.1,"Comedy, Drama, Romance",TV-MA
5768,"Good Morning, Miss Bliss",2016,6.8,"Comedy, Family",TV-G
2984,Now You See Me 2,2016,6.5,"Action, Adventure, Comedy",PG-13
5769,Rawhide,2016,8.0,Western,TV-PG
2779,Allied,2016,7.1,"Action, Drama, Romance",R
3557,American Honey,2016,7.0,"Adventure, Drama, Romance",R
5091,Central Intelligence,2016,6.3,"Action, Comedy, Crime",PG-13
2764,Bergerac,2016,6.7,"Crime, Drama, Mystery",None
2763,"Gordon, Gino & Fred's Road Trip",2016,8.5,"Adventure, Comedy, Reality-TV",None
2756,Pride and Prejudice and Zombies,2016,5.8,"Action, Comedy, Fantasy",PG-13
4883,Andromeda,2016,6.6,"Action, Adventure, Drama",TV-PG
2987,The Boy,2016,6.0,"Horror, Mystery, Thriller",PG-13
4683,Becker,2016,7.2,Comedy,TV-PG
4682,The Great Wall,2016,5.9,"Action, Adventure, Fantasy",PG-13
4065,Alice Through the Looking Glass,2016,6.2,"Adventure, Family, Fantasy",PG
5606,Allegiant,2016,5.7,"Action, Adventure, Mystery",PG-13
4083,Mike and Dave Need Wedding Dates,2016,6.0,"Comedy, Romance",R
3840,Collateral Beauty,2016,6.8,"Drama, Romance",PG-13
5583,The Purge: Election Year,2016,6.0,"Action, Horror, Sci-Fi",R
237,Busanhaeng,2016,7.6,"Action, Horror, Thriller",Not Rated
4022,What I Like About You,2016,6.6,Comedy,TV-PG
5766,Kung Fu Panda 3,2016,7.1,"Animation, Action, Adventure",PG
4021,Brimstone,2016,7.1,"Drama, Mystery, Thriller",R
4808,Miracles from Heaven,2016,7.1,"Biography, Drama, Family",PG
